City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Anadyr,RU,2022-12-15 17:22:59,64.75,177.4833,12.7,85,84,17.9
93,Kununurra,AU,2022-12-15 17:22:14,-15.7667,128.7333,76.98,88,54,0.0
94,Tautira,PF,2022-12-15 17:23:00,-17.7333,-149.15,80.37,75,100,16.31
95,Tarakan,ID,2022-12-15 17:23:00,3.3,117.6333,77.67,86,100,6.04
96,Barrow,US,2022-12-15 17:23:00,71.2906,-156.7887,8.62,78,100,8.05
97,Belaya Gora,RU,2022-12-15 17:23:01,68.5333,146.4167,-45.96,100,51,1.23
98,Nioro,GM,2022-12-15 17:23:01,13.35,-15.75,95.9,6,24,9.28
99,Ribeira Brava,PT,2022-12-15 17:23:01,32.65,-17.0667,67.71,72,70,17.27
100,Batemans Bay,AU,2022-12-15 17:23:02,-35.7167,150.1833,57.09,64,84,9.48
101,Port Elizabeth,ZA,2022-12-15 17:23:02,-33.918,25.5701,75.09,87,20,6.91
102,Sitka,US,2022-12-15 17:23:02,57.0531,-135.33,42.69,81,100,9.22
103,Henties Bay,NA,2022-12-15 17:23:03,-22.116,14.2845,65.79,84,20,5.99
104,Gao,ML,2022-12-15 17:23:03,16.6362,1.637,82.6,10,80,9.48
105,Oktyabrskoye,RU,2022-12-15 17:23:04,43.0645,44.7417,33.94,93,100,6.71
106,Kapaa,US,2022-12-15 17:23:04,22.0752,-159.319,67.98,88,0,9.22
107,Bud,US,2022-12-15 17:23:04,39.447,-86.1758,41.41,73,11,14.34
108,Tasiilaq,GL,2022-12-15 17:23:05,65.6145,-37.6368,19.56,62,35,5.55
109,Iturama,BR,2022-12-15 17:20:06,-19.7281,-50.1956,87.44,50,5,4.88
110,Moussoro,TD,2022-12-15 17:23:05,13.6408,16.4901,83.16,10,78,10.42
111,Tuktoyaktuk,CA,2022-12-15 17:23:06,69.4541,-133.0374,-7.6,84,0,10.36
112,Sirajganj,BD,2022-12-15 17:23:06,24.45,89.7167,67.91,44,2,8.75
113,Riyadh,SA,2022-12-15 17:19:44,24.6877,46.7219,68.14,34,13,8.59
114,Hamilton,US,2022-12-15 17:18:50,39.1834,-84.5333,48.83,82,100,13.8
115,Bodden Town,KY,2022-12-15 17:23:07,19.2833,-81.25,84.2,72,20,13.8
116,Padang,ID,2022-12-15 17:23:07,-0.9492,100.3543,75.25,82,94,3.85
117,Ishurdi,BD,2022-12-15 17:23:07,24.1333,89.0833,63.59,31,2,6.91
118,Nong Ki,TH,2022-12-15 17:23:08,14.6868,102.538,66.02,71,12,2.71
119,Vaini,TO,2022-12-15 17:23:08,-21.2,-175.2,77.16,88,75,6.91
120,Upernavik,GL,2022-12-15 17:23:09,72.7868,-56.1549,27.86,79,100,29.86
121,Le Port,RE,2022-12-15 17:23:09,-20.9373,55.2919,78.8,88,94,7.0
122,Ezhou,CN,2022-12-15 17:23:09,30.4,114.8333,52.38,44,100,5.66
123,Mundra,IN,2022-12-15 17:23:10,22.85,69.7333,78.28,34,88,9.42
124,Kavaratti,IN,2022-12-15 17:23:10,10.5669,72.642,81.95,72,6,11.3
125,Korla,CN,2022-12-15 17:23:10,41.7597,86.1469,19.17,68,2,0.85
126,Grand Forks,US,2022-12-15 17:20:33,47.9417,-97.4337,30.13,93,100,26.46
127,Hofn,IS,2022-12-15 17:23:11,64.2539,-15.2082,23.02,46,100,20.71
128,Tandil,AR,2022-12-15 17:23:11,-37.3217,-59.1332,76.68,16,0,16.55
129,Takoradi,GH,2022-12-15 17:23:11,4.8845,-1.7554,82.26,71,25,12.62
130,Xuddur,SO,2022-12-15 17:23:12,4.1213,43.8894,80.44,32,4,8.68
131,Smoky Lake,CA,2022-12-15 17:23:12,54.1169,-112.4686,5.72,92,71,0.0
132,Wilmington,US,2022-12-15 17:23:10,34.2257,-77.9447,69.94,90,75,10.36
133,Benalla,AU,2022-12-15 17:23:13,-36.55,145.9833,48.85,79,0,8.08
134,Melville,US,2022-12-15 17:20:38,40.7934,-73.4151,41.11,79,75,10.36
135,Trelew,AR,2022-12-15 17:23:13,-43.249,-65.3051,77.56,15,0,11.43
136,Kavieng,PG,2022-12-15 17:23:12,-2.5744,150.7967,81.12,76,93,5.12
137,Yellowknife,CA,2022-12-15 17:23:42,62.456,-114.3525,-12.44,84,40,5.75
138,Livingston,GB,2022-12-15 17:24:14,55.9029,-3.5226,31.1,87,0,4.61
139,Geraldton,AU,2022-12-15 17:24:14,-28.7667,114.6,70.21,78,0,13.8
140,Haifa,IL,2022-12-15 17:24:15,32.8156,34.9892,64.29,88,20,3.44
141,San Joaquin,US,2022-12-15 17:24:15,37.9333,-121.3011,49.48,93,0,5.75
142,Lewistown,US,2022-12-15 17:24:15,40.5992,-77.5714,36.95,93,100,0.0
143,Kostomuksha,RU,2022-12-15 17:24:16,64.571,30.5767,8.89,92,94,13.8
144,Bredasdorp,ZA,2022-12-15 17:24:17,-34.5322,20.0403,71.85,83,39,15.23
145,Lasa,IT,2022-12-15 17:24:17,46.6166,10.7002,38.28,95,100,4.05
146,Puli,TW,2022-12-15 17:24:18,23.9664,120.9695,65.21,76,2,3.44
147,Lompoc,US,2022-12-15 17:24:18,34.6391,-120.4579,56.79,81,0,6.91
148,Novodugino,RU,2022-12-15 17:24:19,55.6305,34.2842,22.06,94,100,15.61
149,Griffith,US,2022-12-15 17:24:20,41.5284,-87.4237,36.9,83,100,17.27
