City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
108,Kavieng,PG,-2.5744,150.7967,81.36,77,98,4.59,moderate rain
109,Busselton,AU,-33.65,115.3333,61.48,69,0,15.35,clear sky
110,Shimoda,JP,34.6667,138.95,44.1,66,0,23.76,clear sky
111,Hilo,US,19.7297,-155.09,81.28,78,75,11.5,broken clouds
112,Hella,NO,67.2,14.4333,33.94,54,20,16.11,snow
113,Mahebourg,MU,-20.4081,57.7,75.49,83,40,10.36,scattered clouds
114,Lorengau,PG,-2.0226,147.2712,78.21,86,100,5.75,overcast clouds
115,Faanui,PF,-16.4833,-151.75,80.31,77,94,18.25,overcast clouds
116,Vanatori-Neamt,RO,47.2,26.3167,32.29,92,45,3.69,scattered clouds
117,Healdsburg,US,38.6105,-122.8692,61.99,61,40,3.44,scattered clouds
118,Bardiyah,LY,31.7561,25.0865,67.46,52,2,7.72,clear sky
119,Dandong,CN,40.1292,124.3947,5.0,64,16,5.39,few clouds
120,Rumoi,JP,43.9344,141.6428,22.32,86,94,23.87,light snow
121,East London,ZA,-33.0153,27.9116,68.38,84,40,3.8,scattered clouds
122,Lata,PT,40.1629,-8.3327,53.92,91,55,7.81,broken clouds
123,Torbay,CA,47.6666,-52.7314,38.88,97,100,30.0,light intensity drizzle
124,Georgetown,MY,5.4112,100.3354,80.53,86,20,9.22,few clouds
125,Flin Flon,CA,54.7682,-101.865,13.84,79,100,12.66,light snow
126,Teahupoo,PF,-17.8333,-149.2667,80.56,76,99,15.23,overcast clouds
127,Yining,CN,29.0361,114.5636,47.66,69,98,3.94,overcast clouds
128,Basco,PH,20.4487,121.9702,79.57,80,54,20.24,broken clouds
129,Udachnyy,RU,66.4167,112.4,-25.96,100,94,4.85,overcast clouds
130,Port Lincoln,AU,-34.7333,135.8667,59.56,67,100,16.64,overcast clouds
131,Tateyama,JP,34.9833,139.8667,45.1,57,9,8.14,clear sky
