City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
115,Faanui,PF,80.31,-16.4833,-151.75,Oa Oa Lodge
124,Georgetown,MY,80.53,5.4112,100.3354,Page 63 hostel
126,Teahupoo,PF,80.56,-17.8333,-149.2667,Vanira Lodge
128,Basco,PH,79.57,20.4487,121.9702,Tawsen Hotel
136,Iquique,CL,71.64,-20.2208,-70.1431,Hostal Vivar
138,Saint-Georges,GD,80.28,12.0564,-61.7485,Deyna's City Inn
139,Acapulco,MX,79.86,16.8634,-99.8901,Hotel del Valle
146,Hirara,JP,73.26,24.8,125.2833,古謝そば屋
149,Mogadishu,SO,77.56,2.0371,45.3438,SYL Hotel
151,Saint-Philippe,RE,76.59,-21.3585,55.7679,Le Baril
158,Rio Grande,BR,75.31,-32.035,-52.0986,Hotel Vila Moura Executivo
159,Namatanai,PG,83.48,-3.6667,152.4333,Namatanai Hotel
161,Bandar-E Lengeh,IR,70.72,26.5579,54.8807,Old owner do not like foreigners hotel
162,Upata,VE,75.2,8.0086,-62.3989,Hotel Garibardi
163,Kununurra,AU,84.18,-15.7667,128.7333,Kununurra Country Club Resort
164,Mercedes,AR,70.75,-34.6515,-59.4307,Gran Hotel Mercedes
177,Makakilo City,US,82.15,21.3469,-158.0858,Embassy Suites by Hilton Oahu Kapolei
180,Saint-Leu,RE,76.06,-21.15,55.2833,Iloha Seaview Hôtel
184,Puerto Escondido,MX,80.51,15.85,-97.0667,Hotel Barlovento
190,Bathsheba,BB,81.21,13.2167,-59.5167,Atlantis Hotel
200,Luba,GQ,78.69,3.4568,8.5547,Hotel Jones
201,Atar,MR,75.15,20.5169,-13.0499,فندق سكليل
208,Kathu,TH,76.82,7.9178,98.3332,Tinidee Hotel
212,Marsh Harbour,BS,76.48,26.5412,-77.0636,Lofty Fig Villas
213,Mbandaka,CD,72.95,0.0487,18.2603,Hôtel Epervier
217,Cabo San Lucas,MX,77.61,22.8909,-109.9124,Comfort Rooms
220,Bacolod,PH,78.21,10.6667,122.95,Northwest Inn
225,Gwadar,PK,71.1,25.1216,62.3254,Sadaf Resorts
228,Calama,CL,75.69,-22.4667,-68.9333,Apart Hotel Geotel Calama
229,Vao,NC,76.62,-22.6667,167.4833,Nataiwatch
237,Conde,BR,80.06,-7.2597,-34.9075,Paladino
242,Omboue,GA,77.22,-1.5746,9.2618,Georges Faustin Aurat
245,Souillac,MU,75.58,-20.5167,57.5167,Hotel SkylineInn
249,Vryburg,ZA,70.92,-26.9566,24.7284,International Hotel
256,Laredo,US,73.69,27.5064,-99.5075,Rialto Hotel
265,Lazaro Cardenas,MX,79.65,17.9583,-102.2,Hotel Sol del Pacífico
266,Ternate,ID,81.39,0.8,127.4,Boulivard ternate
270,Malanville,BJ,73.69,11.8685,3.3899,Hôtel les Relais du Sahel
271,Pitimbu,BR,81.19,-7.4706,-34.8086,Pousada Brisa Mar
272,Mahibadhoo,MV,79.65,3.7833,72.9667,Coral View Inn
275,Karratha,AU,78.44,-20.7377,116.8463,Karratha International Hotel
287,Mount Isa,AU,83.97,-20.7333,139.5,Ibis Styles
298,Poindimie,NC,80.78,-20.9333,165.3333,Le Tapoundari
300,Luganville,VU,82.96,-15.5333,167.1667,Beachfront Resort
305,Salalah,OM,72.28,17.0151,54.0924,Muscat International Hotel
309,Mazatlan,MX,73.9,23.2167,-106.4167,Mona Inn
311,Tafo,GH,73.35,6.7345,-1.6127,Tullux Hotel
314,Santa Rosa,PH,78.78,14.3122,121.1114,JARS RESORT
316,Sao Filipe,CV,78.31,14.8961,-24.4956,Bela Vista
318,Fare,PF,80.2,-16.7,-151.0167,hôtel Maitai Lapita Village
320,Banda Aceh,ID,77.05,5.5577,95.3222,Hotel 61
329,Morondava,MG,78.22,-20.2833,44.2833,Hotel Sharon Menabe
332,Port Elizabeth,ZA,71.31,-33.918,25.5701,Waterford Hotel
333,Mineiros,BR,71.53,-17.5694,-52.5511,Hotel Dallas
336,Atambua,ID,76.96,-9.1061,124.8925,Hotel Matahari
344,Ambilobe,MG,74.39,-13.2,49.05,Hôtel National
350,Ampanihy,MG,72.95,-24.7,44.75,Hotel restaurant Angora
